Country,Year,Prevalence of raised blood glucose/diabetes in adults (%)
Saint Kitts y Nevis,2004,11.1
Santa Lucía,2004,9.5
San Vicente y las Granadinas,2004,9.0
Suriname,2004,10.2
Trinidad y Tabago,2004,8.2
Estados Unidos de América,2004,6.7
Uruguay,2004,8.4
Venezuela (República Bolivariana de),2004,9.0
Antigua y Barbuda,2005,8.8
Argentina,2005,8.6
Bahamas,2005,11.2
Barbados,2005,10.1
Belice,2005,10.6
Bolivia (Estado Plurinacional de),2005,6.8
Brasil,2005,7.3
Canadá,2005,5.5
Chile,2005,9.2
Colombia,2005,7.7
Costa Rica,2005,7.8
Cuba,2005,7.6
Dominica,2005,9.3
República Dominicana,2005,8.5
Ecuador,2005,6.7
El Salvador,2005,9.0
Granada,2005,8.7
Guatemala,2005,8.3
Guyana,2005,8.5
Haití,2005,6.8
Honduras,2005,7.4
Jamaica,2005,9.3
México,2005,10.1
Nicaragua,2005,8.8
Panamá,2005,8.0
Paraguay,2005,6.7
Perú,2005,6.8
Saint Kitts y Nevis,2005,11.4
Santa Lucía,2005,9.9
San Vicente y las Granadinas,2005,9.2
Suriname,2005,10.4
Trinidad y Tabago,2005,8.5
Estados Unidos de América,2005,6.7
Uruguay,2005,8.5
Venezuela (República Bolivariana de),2005,9.0
Antigua y Barbuda,2006,9.1
Argentina,2006,8.7
Bahamas,2006,11.4
Barbados,2006,10.4
Belice,2006,10.8
Bolivia (Estado Plurinacional de),2006,6.9
Brasil,2006,7.4
Canadá,2006,5.5
Chile,2006,9.3
Colombia,2006,7.7
Costa Rica,2006,7.9
Cuba,2006,7.6
Dominica,2006,9.5
República Dominicana,2006,8.7
Ecuador,2006,6.8
El Salvador,2006,9.1
Granada,2006,9.0
Guatemala,2006,8.4
Guyana,2006,8.7
Haití,2006,7.0
Honduras,2006,7.6
Jamaica,2006,9.6
México,2006,10.3
Nicaragua,2006,8.9
Panamá,2006,8.1
Paraguay,2006,6.9
Perú,2006,6.9
Saint Kitts y Nevis,2006,11.8
Santa Lucía,2006,10.3
San Vicente y las Granadinas,2006,9.3
Suriname,2006,10.6
Trinidad y Tabago,2006,8.9
Estados Unidos de América,2006,6.8
Uruguay,2006,8.6
Venezuela (República Bolivariana de),2006,9.1
Antigua y Barbuda,2007,9.4
Argentina,2007,8.8
Bahamas,2007,11.5
Barbados,2007,10.6
Belice,2007,11.0
Bolivia (Estado Plurinacional de),2007,7.0
Brasil,2007,7.5
Canadá,2007,5.5
Chile,2007,9.4
Colombia,2007,7.8
Costa Rica,2007,8.0
Cuba,2007,7.7
Dominica,2007,9.7
República Dominicana,2007,8.9
Ecuador,2007,7.0
El Salvador,2007,9.2
Granada,2007,9.2
Guatemala,2007,8.6
Guyana,2007,8.9
Haití,2007,7.2
Honduras,2007,7.8
Jamaica,2007,9.8
México,2007,10.4
Nicaragua,2007,9.1
Panamá,2007,8.2
Paraguay,2007,7.0
Perú,2007,7.0
Saint Kitts y Nevis,2007,12.1
Santa Lucía,2007,10.7
San Vicente y las Granadinas,2007,9.5
Suriname,2007,10.9
Trinidad y Tabago,2007,9.2
Estados Unidos de América,2007,6.9
Uruguay,2007,8.7
Venezuela (República Bolivariana de),2007,9.1
Antigua y Barbuda,2008,9.7
Argentina,2008,8.9
Bahamas,2008,11.6
Barbados,2008,10.8
Belice,2008,11.2
Bolivia (Estado Plurinacional de),2008,7.1
Brasil,2008,7.6
Canadá,2008,5.5
Chile,2008,9.6
Colombia,2008,7.9
Costa Rica,2008,8.1
Cuba,2008,7.8
Dominica,2008,9.9
República Dominicana,2008,9.1
Ecuador,2008,7.1
El Salvador,2008,9.3
Granada,2008,9.5
Guatemala,2008,8.8
Guyana,2008,9.2
Haití,2008,7.4
Honduras,2008,8.0
Jamaica,2008,10.1
México,2008,10.5
Nicaragua,2008,9.2
Panamá,2008,8.4
Paraguay,2008,7.1
Perú,2008,7.0
Saint Kitts y Nevis,2008,12.4
Santa Lucía,2008,11.2
San Vicente y las Granadinas,2008,9.6
Suriname,2008,11.1
Trinidad y Tabago,2008,9.5
Estados Unidos de América,2008,6.9
Uruguay,2008,8.8
Venezuela (República Bolivariana de),2008,9.2
Antigua y Barbuda,2009,10.0
Argentina,2009,9.0
Bahamas,2009,11.8
Barbados,2009,11.0
Belice,2009,11.4
Bolivia (Estado Plurinacional de),2009,7.3
Brasil,2009,7.7
Canadá,2009,5.5
Chile,2009,9.7
Colombia,2009,8.0
Costa Rica,2009,8.2
Cuba,2009,7.9
Dominica,2009,10.1
República Dominicana,2009,9.3
Ecuador,2009,7.2
El Salvador,2009,9.4
Granada,2009,9.7
Guatemala,2009,8.9
Guyana,2009,9.5
Haití,2009,7.6
Honduras,2009,8.2
Jamaica,2009,10.4
México,2009,10.6
Nicaragua,2009,9.4
Panamá,2009,8.5
Paraguay,2009,7.3
Perú,2009,7.1
Saint Kitts y Nevis,2009,12.8
Santa Lucía,2009,11.7
San Vicente y las Granadinas,2009,9.8
Suriname,2009,11.3
Trinidad y Tabago,2009,9.9
Estados Unidos de América,2009,7.0
Uruguay,2009,8.9
Venezuela (República Bolivariana de),2009,9.2
Antigua y Barbuda,2010,10.2
Argentina,2010,9.1
Bahamas,2010,11.9
Barbados,2010,11.2
Belice,2010,11.7
Bolivia (Estado Plurinacional de),2010,7.4
Brasil,2010,7.8
Canadá,2010,5.5
Chile,2010,9.9
Colombia,2010,8.1
Costa Rica,2010,8.4
Cuba,2010,8.0
Dominica,2010,10.3
República Dominicana,2010,9.4
Ecuador,2010,7.3
El Salvador,2010,9.6
Granada,2010,10.0
Guatemala,2010,9.1
Guyana,2010,9.7
Haití,2010,7.8
Honduras,2010,8.4
Jamaica,2010,10.7
México,2010,10.7
Nicaragua,2010,9.5
Panamá,2010,8.7
Paraguay,2010,7.4
Perú,2010,7.2
Saint Kitts y Nevis,2010,13.1
Santa Lucía,2010,12.2
San Vicente y las Granadinas,2010,9.9
Suriname,2010,11.4
Trinidad y Tabago,2010,10.2
Estados Unidos de América,2010,7.0
Uruguay,2010,9.0
Venezuela (República Bolivariana de),2010,9.3
Antigua y Barbuda,2011,10.5
Argentina,2011,9.3
Bahamas,2011,12.0
Barbados,2011,11.4
Belice,2011,11.9
Bolivia (Estado Plurinacional de),2011,7.5
Brasil,2011,7.9
Canadá,2011,5.5
Chile,2011,10.0
Colombia,2011,8.2
Costa Rica,2011,8.5
Cuba,2011,8.1
Dominica,2011,10.5
República Dominicana,2011,9.6
Ecuador,2011,7.5
El Salvador,2011,9.7
Granada,2011,10.3
Guatemala,2011,9.2
Guyana,2011,10.0
Haití,2011,8.0
Honduras,2011,8.6
Jamaica,2011,11.0
México,2011,10.8
Nicaragua,2011,9.7
Panamá,2011,8.8
Paraguay,2011,7.6
Perú,2011,7.3
Saint Kitts y Nevis,2011,13.5
Santa Lucía,2011,12.7
San Vicente y las Granadinas,2011,10.1
Suriname,2011,11.6
Trinidad y Tabago,2011,10.6
Estados Unidos de América,2011,7.1
Uruguay,2011,9.1
Venezuela (República Bolivariana de),2011,9.3
Antigua y Barbuda,2012,10.8
Argentina,2012,9.4
Bahamas,2012,12.2
Barbados,2012,11.7
Belice,2012,12.1
Bolivia (Estado Plurinacional de),2012,7.7
Brasil,2012,8.0
Canadá,2012,5.5
Chile,2012,10.2
Colombia,2012,8.3
Costa Rica,2012,8.6
Cuba,2012,8.2
Dominica,2012,10.7
República Dominicana,2012,9.7
Ecuador,2012,7.6
El Salvador,2012,9.8
Granada,2012,10.5
Guatemala,2012,9.4
Guyana,2012,10.3
Haití,2012,8.2
Honduras,2012,8.8
Jamaica,2012,11.3
México,2012,11.0
Nicaragua,2012,9.8
Panamá,2012,9.0
Paraguay,2012,7.8
Perú,2012,7.4
Saint Kitts y Nevis,2012,13.8
Santa Lucía,2012,13.3
San Vicente y las Granadinas,2012,10.3
Suriname,2012,11.8
Trinidad y Tabago,2012,11.0
Estados Unidos de América,2012,7.1
Uruguay,2012,9.2
Venezuela (República Bolivariana de),2012,9.3
Antigua y Barbuda,2013,11.2
Argentina,2013,9.5
Bahamas,2013,12.3
Barbados,2013,11.9
Belice,2013,12.4
Bolivia (Estado Plurinacional de),2013,7.8
Brasil,2013,8.1
Canadá,2013,5.5
Chile,2013,10.3
Colombia,2013,8.4
Costa Rica,2013,8.8
Cuba,2013,8.3
Dominica,2013,10.9
República Dominicana,2013,9.9
