Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),"Birth rate, crude (per 1,000 people)",CO2 emissions (kg per PPP $ of GDP),Capital health expenditure (% of GDP),"Compulsory education, duration (years)",Control of Corruption: Estimate,"Current health expenditure per capita, PPP (current international $)","Death rate, crude (per 1,000 people)",Diabetes prevalence (% of population ages 20 to 79),Domestic general government health expenditure (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Domestic private health expenditure (% of current health expenditure),"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Fertility rate, total (births per woman)","GDP, PPP (constant 2017 international $)",Gini index,"Government expenditure on education, total (% of GDP)","Infant and young child feeding practices, all 3 IYCF (% children ages 6-23 months)","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)","Mortality rate, adult, female (per 1,000 female adults)","Mortality rate, adult, male (per 1,000 male adults)","Mortality rate, infant (per 1,000 live births)",Number of neonatal deaths,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",People using at least basic sanitation services (% of population),People using safely managed drinking water services (% of population),Political Stability and Absence of Violence/Terrorism: Estimate,"Population ages 80 and above, female","Population ages 80 and above, male",Population density (people per sq. km of land area),"Population, female","Population, female (% of total population)","Population, male","Population, male (% of total population)","Population, total",Poverty gap at $6.85 a day (2017 PPP) (%),Pregnant women receiving prenatal care (%),Prevalence of overweight (% of adults),"Prevalence of overweight, weight for height (% of children under 5)",Prevalence of undernourishment (% of population),Rural population (% of total population),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population,Urban population (% of total population)
0.0,44.144999999999996,0.770076685869903,0.04525074,33.0,3.90531814098357,3416.20168430778,17.1,0.0,9.41064834,1992.207579168663,124.66877748000002,0.0,0.0,5.3549999999999995,4807939438.61514,0.0,0.0,0.0,238.302,221.877,230.45999999999998,0.0,246.252,418.11,24.900000000000002,21.0,300.0,292.0608633209688,0.0,2.714998126029969,2913.0,1500.0,584.284090909092,135291.0,157.8750218799231,121791.0,142.1214773323998,257085.0,0.0,0.0,134.10000000000002,0.0,0.0,221.286,17.21169,0.0,67455.0,78.714
0.0,42.939,0.753449554171878,0.03924171,33.0,3.8168942928314102,3419.3375857559095,16.872,37.5,9.29835249,1947.2537523529081,128.99497605,0.0,0.0,5.2379999999999995,4713770529.60732,0.0,0.0,0.0,239.118,222.732,231.312,0.0,238.554,406.434,23.700000000000003,21.0,300.0,292.1033491288173,0.0,2.872764766216278,2934.0,1509.0,591.334090909092,136764.0,157.6911990222417,123423.0,142.3088009777583,260187.0,0.0,0.0,135.60000000000002,0.0,0.0,222.891,0.0,0.0,66876.0,77.109
0.0,40.491,0.795632215346358,0.09831807000000001,33.0,3.78159248828889,3322.0169475873,16.755,0.0,9.25361466,1870.138181841873,131.11421586,0.0,0.0,4.965,4872759702.56103,0.0,7.068579912185671,0.0,239.88299999999998,223.428,232.04999999999998,0.0,231.084,396.207,22.5,18.0,300.0,292.1174145595551,0.0,2.927364170551299,2946.0,1515.0,597.7772727272729,138066.0,157.4765608960467,124959.0,142.5268608709539,263022.0,0.0,0.0,137.10000000000002,0.0,0.0,223.42200000000003,0.0,0.0,67140.0,76.578
0.0,37.407,0.8247436877416139,0.0,33.0,3.7606455087661805,3212.5995455248803,16.695,0.0,9.26881743,1801.688013935352,131.04821778,0.0,0.0,4.611,4843480439.638741,0.0,7.94186997413634,0.0,240.69,224.01300000000003,232.749,0.0,223.035,386.72399999999993,21.299999999999997,15.0,300.0,292.131401146167,0.0,2.876590132713318,2967.0,1530.0,603.388636363635,139203.0,157.296857520594,126288.0,142.703142479406,265491.0,0.0,0.0,138.89999999999998,0.0,0.0,223.95000000000002,0.0,0.0,67302.0,76.05000000000001
0.0,24.65,0.540887652249884,0.0,22.0,1.269795536994934,2319.3623847362,11.088,0.0,6.94855308,1372.129880385842,81.68041992,0.0,0.0,3.052,3351550509.40904,0.0,5.1077265739441,0.0,161.07,149.816,155.716,0.0,142.704,250.234,13.6,10.0,200.0,194.7635271790674,0.0,1.969101428985596,2012.0,1042.0,405.618181818182,93496.0,104.7738580841812,84976.0,95.2261419158188,178472.0,0.0,0.0,93.8,0.0,0.0,149.65,0.0,0.0,44930.0,50.35
0.0,25.182,0.554039194616482,0.09842778,22.0,1.285781741142272,2077.46962272608,11.298,0.0,6.31316518,1242.070493878524,80.42467498,0.0,0.0,3.134,3479757139.74854,0.0,5.31185722351074,0.0,160.778,150.296,155.826,0.0,142.53,242.328,13.0,10.0,200.0,194.7727984880904,0.0,1.975128531455994,2060.0,1066.0,408.822727272728,94174.0,104.7064186522276,85706.0,95.2913576678044,179882.0,0.0,0.0,94.8,0.0,0.0,150.0,14.77412,0.0,44970.0,50.0
0.0,23.318,0.531637045575904,0.2887089,22.0,1.291117429733276,2129.83860742052,11.324,0.0,5.72115516,1189.51301627284,88.27307892,0.0,0.0,2.916,3671020571.31842,0.0,5.81891870498658,0.0,161.29,150.732,156.304,0.0,136.758,234.668,12.4,8.0,200.0,194.780956158669,0.0,1.718499302864074,2112.0,1092.0,411.654545454546,94776.0,104.6508546442294,86352.0,95.3491453557706,181128.0,0.0,0.0,96.0,0.0,0.0,150.308,0.0,0.0,45004.0,49.692
0.0,23.578,0.528303357459004,0.01100444,22.0,0.395610183477402,2026.05266611994,11.492,0.0,5.47573566,1137.873519131526,87.63013458,0.0,0.0,2.97,3786460887.96668,0.0,5.75381803512574,0.0,161.442,151.04,156.536,0.0,133.436,228.106,12.0,8.0,200.0,194.7879999134628,0.0,1.46411943435669,2150.0,1124.0,414.177272727272,95316.0,104.6060645968458,86922.0,95.3939354031542,182238.0,0.0,0.0,0.0,0.0,0.0,150.574,0.0,0.0,45036.0,49.426
0.0,21.632,0.491154167272648,0.04531248,22.0,0.472479403018952,2193.10136040112,11.574,0.0,5.82564592,1317.492428332476,79.65708924,0.0,0.0,2.742,4044839975.93508,0.0,6.4780421257019,0.0,162.0,151.448,157.022,0.0,126.768,220.808,11.4,8.0,0.0,194.7940369436654,0.0,1.64583945274353,2182.0,1154.0,416.481818181818,95820.0,104.577303385502,87430.0,95.4205138279528,183252.0,0.0,0.0,0.0,0.0,0.0,150.802,0.0,0.0,45078.0,49.198
0.0,22.97,0.462774740150864,0.04250874,22.0,0.478996217250824,2101.0377645372,11.73,0.0,5.11426448,1227.841486654272,83.02753448,0.0,0.0,2.936,4220550244.53874,0.0,6.9146900177002,0.0,162.342,151.818,157.382,0.0,121.742,213.8,11.0,8.0,0.0,194.7989602033604,0.0,1.875935792922974,2224.0,1182.0,418.713636363636,96312.0,104.5539911199888,87922.0,95.4460088800112,184234.0,0.0,0.0,0.0,0.0,0.0,150.988,17.02718,0.0,45148.0,49.012
0.0,36.480000000000004,0.774458064181083,0.02569383,33.0,0.715599820017816,3247.45655559033,17.883000000000003,0.0,10.144088759999999,1955.718575049285,118.90140153,0.0,0.0,4.707,5222792596.9758005,0.0,0.0,0.0,243.948,228.18300000000002,236.52299999999997,0.0,175.632,312.009,15.899999999999999,12.0,0.0,292.20424776831896,0.0,2.788514792919159,3423.0,1824.0,631.8,145284.0,156.7858067858067,132708.0,143.2141932141933,277992.0,0.0,0.0,0.0,0.0,0.0,226.70099999999996,0.0,0.0,67923.0,73.299
0.0,36.345,0.0,0.0,33.0,0.6959377527236941,0.0,19.095,35.099999999999994,0.0,0.0,0.0,0.0,0.0,4.74,5565141419.42697,0.0,11.641470909118649,0.0,242.823,227.32500000000002,235.49099999999999,0.0,170.637,301.224,15.600000000000001,12.0,0.0,292.2084528549528,0.0,2.848590016365051,3531.0,1869.0,635.584090909092,146127.0,156.7566697776204,133533.0,143.2465484504232,279657.0,0.0,0.0,0.0,0.0,0.0,226.86,0.0,0.0,68181.0,73.14
