País,Año,"Birth rate, crude (per 1,000 people)",CO2 emissions (kg per PPP $ of GDP),Capital health expenditure (% of GDP),"Compulsory education, duration (years)",Control of Corruption: Estimate,"Current health expenditure per capita, PPP (current international $)","Death rate, crude (per 1,000 people)",Diabetes prevalence (% of population ages 20 to 79),Domestic general government health expenditure (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Domestic private health expenditure (% of current health expenditure),"Fertility rate, total (births per woman)","GDP, PPP (constant 2017 international $)",Gini index,"Government expenditure on education, total (% of GDP)","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)","Mortality rate, adult, female (per 1,000 female adults)","Mortality rate, adult, male (per 1,000 male adults)","Mortality rate, infant (per 1,000 live births)",Number of neonatal deaths,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",People using at least basic sanitation services (% of population),People using safely managed drinking water services (% of population),Political Stability and Absence of Violence/Terrorism: Estimate,"Population ages 80 and above, female","Population ages 80 and above, male",Population density (people per sq. km of land area),"Population, female","Population, female (% of total population)","Population, male","Population, male (% of total population)","Population, total",Poverty gap at $6.85 a day (2017 PPP) (%),Pregnant women receiving prenatal care (%),Prevalence of overweight (% of adults),"Prevalence of overweight, weight for height (% of children under 5)",Prevalence of undernourishment (% of population),Rural population (% of total population),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population,Urban population (% of total population),"Proportion of adults who are obese, 20 years old and over ,by sex",Gasto público social según la clasificación por funciones del gobierno,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex"
Argentina,2011,71.224,0.886239069176516,0.11933012,52,-1.45639407634735,7233.77222032292,30.04,22.0,22.7246914,4363.50012359456,156.39402772,9.352,4067991635243.88,170.4,21.162519454956,317.288,291.364,304.496,338.796,600.784,49.6,22244,398.121652351637,371.08301477581,0.0,0.635974645614624,2968684,1336424,60.3086063821624,83463068,202.27836979784,81582892,197.721630202159,165045960,11.2,0.0,240.8,0.0,11.6,36.04,28.72,150175320,363.96,25.8,246061.8,0.0
Argentina,2012,70.916,0.8683945614274,0.09741608,52,-1.78363680839538,7680.51129964732,29.576,0.0,24.53941916,4794.70255835868,148.20855712,9.32,4026236937015.12,165.2,21.3833198547363,319.812,291.756,305.868,318.276,594.5,47.6,22364,396.870754256432,372.907202835915,0.0,0.412162184715272,3045856,1372316,60.9981707829532,84396004,202.227149768553,82537076,197.772840696823,166933084,11.2,392.4,242.8,0.0,11.2,35.516,28.88,152111096,364.484,25.0,320235.1,0.0
Argentina,2013,70.528,0.862769533119864,0.15535332,52,-1.73606312274932,7841.86333620224,29.976,0.0,24.88169096,4987.20043332596,143.82772828,9.288,4123080971532.28,163.6,21.7464408874511,319.708,292.044,305.964,316.684,589.584,45.6,22004,396.105856001449,374.492505817633,0.0,0.26125705242157,3120232,1405900,61.684640934852,85329960,202.18963883616,83481780,197.81036116384,168811740,10.4,0.0,244.8,0.0,10.4,35.004,28.4,154039024,364.996,26.9,435876.8,0.0
Argentina,2014,87.52,1.06918328474456,0.159530199999999,65,-2.74721533060074,9484.0301697143,37.235,0.0,31.6365385,6204.78912854585,170.240287799999,11.56,5024354759190.0,208.0,26.8072009086609,400.02,367.12,383.775,390.455,711.19,54.5,26280,491.570320049977,470.105619374722,0.0,-0.025609356816858,3983880,1800105,77.9582269091495,107814905,252.674408172566,105532595,247.325591827434,213347500,14.0,0.0,309.0,0.0,12.5,43.115,36.35,194950545,456.885,26.1,596395.6,0.0
Argentina,2015,86.73,1.06985108861538,0.115036,70,-2.9043436050415,10253.4041661369,37.715,0.0,34.12186625,6840.4293991469,165.0119972,11.505,5161577918003.75,0.0,28.8805508613586,400.94,366.47,383.8,381.535,717.53,51.5,24905,490.10964347258,472.102040723714,0.0,0.0438206735998392,4064095,1841940,78.8031636758274,108957705,252.614746284797,106702130,247.385265274008,215659830,0.0,0.0,311.5,0.0,12.5,42.485,37.62,197335215,457.515,28.0,837752.5,31.7
Argentina,2016,84.12,1.03452894327631,0.158673099999999,70,-1.49482443928718,9124.16895561785,39.735,0.0,27.9559326,5667.1304756649,187.9011917,11.205,5054200175397.19,210.0,27.7274489402771,398.35,364.665,381.54,396.425,737.79,49.0,23385,470.697299617538,474.104778305514,0.0,0.988749489188194,4131780,1875485,79.6406754144605,110095325,252.568004742852,107856515,247.431995257148,217951840,14.0,0.0,313.5,0.0,13.0,41.865,40.545,199702730,458.135,27.4,1166899.8,0.0
Argentina,2017,64.824,0.689933699457276,0.03881696,56,-1.23519337177276,9854.09234377392,30.768,0.0,26.39742852,6227.6457812452,145.47055052,8.672,4157322366274.16,164.4,21.8172798156738,320.34,294.104,307.332,303.396,561.672,36.4,17676,375.411298666529,0.0,0.0,0.650165736675264,3354352,1526976,64.3767631701068,88976464,202.013500696499,87202784,197.986508383139,176179244,10.0,0.0,0.0,0.0,12.4,33.004,33.4,161642696,366.996,0.0,1558205.9,0.0
Argentina,2018,75.935,0.85336007198044,0.0,70,-0.493340864777565,11083.4648348948,38.4,0.0,29.81258155,6957.0138347676,184.63510515,10.195,5060635947139.05,206.5,24.3886995315552,401.645,368.155,384.995,367.69,694.465,42.0,20440,0.0,0.0,0.0,0.034049570094794,4263905,1947780,81.2925504898255,112337440,252.474884042265,110135070,247.525115957734,222472510,15.5,0.0,0.0,62.0,17.0,40.65,46.1,204385495,459.35,0.0,1972156.2,30.3
Argentina,2019,73.9149999999999,0.813207664424565,0.0,70,-0.534701235592365,10939.144742055,38.0,0.0,30.2971053,6998.19994801695,178.9230728,9.97,4959379655976.15,214.5,23.8879990577698,403.405,369.285,386.42,352.91,680.755,38.0,19440,0.0,0.0,0.0,-0.489321537315845,4344975,1990255,82.1041330950895,113448465,252.451530343149,111245095,247.54846965685,224693560,18.5,0.0,0.0,0.0,17.5,40.045,49.2,206697855,459.955,0.0,2783691.758,24.9
Argentina,2020,56.5,0.655308990779252,0.0,56,-0.65512263774872,8358.07368730584,34.036,0.0,26.4661064,5538.79305190272,133.77687072,7.644,3573005500457.47,169.2,21.1185607910156,317.14,290.184,303.568,350.484,590.828,27.2,14164,0.0,0.0,0.0,-0.288104981184005,3541404,1617124,66.323570444588,91644276,201.96300597708,89862776,198.036994022919,181507052,18.0,380.0,0.0,0.0,14.8,31.556,45.84,167187960,368.444,0.0,4652420.0,29.4
