Country,Año,Prevalence of raised blood pressure in adults (%)
Guyana,2008,22.8
Haití,2008,25.9
Honduras,2008,22.2
Jamaica,2008,22.9
México,2008,21.4
Nicaragua,2008,21.9
Panamá,2008,21.0
Paraguay,2008,26.3
Perú,2008,16.2
Saint Kitts y Nevis,2008,25.5
Santa Lucía,2008,26.4
San Vicente y las Granadinas,2008,24.6
Suriname,2008,24.1
Trinidad y Tabago,2008,24.5
Estados Unidos de América,2008,13.9
Uruguay,2008,24.4
Venezuela (República Bolivariana de),2008,21.5
Antigua y Barbuda,2009,22.8
Argentina,2009,24.7
Bahamas,2009,23.0
Barbados,2009,24.7
Belice,2009,23.4
Bolivia (Estado Plurinacional de),2009,19.2
Brasil,2009,25.6
Canadá,2009,15.5
Chile,2009,23.0
Colombia,2009,20.7
Costa Rica,2009,20.3
Cuba,2009,20.7
Dominica,2009,24.2
República Dominicana,2009,23.5
Ecuador,2009,18.8
El Salvador,2009,19.9
Granada,2009,24.3
Guatemala,2009,21.8
Guyana,2009,22.8
Haití,2009,25.8
Honduras,2009,22.1
Jamaica,2009,22.7
México,2009,21.1
Nicaragua,2009,21.7
Panamá,2009,20.8
Paraguay,2009,26.0
Perú,2009,15.8
Saint Kitts y Nevis,2009,25.4
Santa Lucía,2009,26.5
San Vicente y las Granadinas,2009,24.4
Suriname,2009,23.8
Trinidad y Tabago,2009,24.6
Estados Unidos de América,2009,13.7
Uruguay,2009,23.8
Venezuela (República Bolivariana de),2009,21.0
Antigua y Barbuda,2010,22.9
Argentina,2010,24.3
Bahamas,2010,22.7
Barbados,2010,24.7
Belice,2010,23.2
Bolivia (Estado Plurinacional de),2010,18.9
Brasil,2010,25.2
Canadá,2010,15.1
Chile,2010,22.6
Colombia,2010,20.5
Costa Rica,2010,20.1
Cuba,2010,20.4
Dominica,2010,23.9
República Dominicana,2010,23.1
Ecuador,2010,18.6
El Salvador,2010,19.7
Granada,2010,24.3
Guatemala,2010,21.7
Guyana,2010,22.8
Haití,2010,25.6
Honduras,2010,22.0
Jamaica,2010,22.6
México,2010,20.9
Nicaragua,2010,21.6
Panamá,2010,20.6
Paraguay,2010,25.8
Perú,2010,15.4
Saint Kitts y Nevis,2010,25.4
Santa Lucía,2010,26.6
San Vicente y las Granadinas,2010,24.2
Suriname,2010,23.5
Trinidad y Tabago,2010,24.8
Estados Unidos de América,2010,13.6
Uruguay,2010,23.3
Venezuela (República Bolivariana de),2010,20.6
Antigua y Barbuda,2011,22.9
Argentina,2011,23.9
Bahamas,2011,22.3
Barbados,2011,24.6
Belice,2011,23.1
Bolivia (Estado Plurinacional de),2011,18.7
Brasil,2011,24.8
Canadá,2011,14.7
Chile,2011,22.3
Colombia,2011,20.2
Costa Rica,2011,19.8
Cuba,2011,20.2
Dominica,2011,23.6
República Dominicana,2011,22.8
Ecuador,2011,18.5
El Salvador,2011,19.5
Granada,2011,24.3
Guatemala,2011,21.6
Guyana,2011,22.9
Haití,2011,25.4
Honduras,2011,21.9
Jamaica,2011,22.4
México,2011,20.6
Nicaragua,2011,21.4
Panamá,2011,20.5
Paraguay,2011,25.5
Perú,2011,15.0
Saint Kitts y Nevis,2011,25.4
Santa Lucía,2011,26.7
San Vicente y las Granadinas,2011,24.0
Suriname,2011,23.3
Trinidad y Tabago,2011,25.0
Estados Unidos de América,2011,13.4
Uruguay,2011,22.7
Venezuela (República Bolivariana de),2011,20.2
Antigua y Barbuda,2012,23.0
Argentina,2012,23.6
Bahamas,2012,22.0
Barbados,2012,24.6
Belice,2012,23.0
Bolivia (Estado Plurinacional de),2012,18.5
Brasil,2012,24.4
Canadá,2012,14.3
Chile,2012,21.9
Colombia,2012,19.9
Costa Rica,2012,19.6
Cuba,2012,19.8
Dominica,2012,23.3
República Dominicana,2012,22.5
Ecuador,2012,18.3
El Salvador,2012,19.3
Granada,2012,24.3
Guatemala,2012,21.5
Guyana,2012,22.9
Haití,2012,25.2
Honduras,2012,21.8
Jamaica,2012,22.2
México,2012,20.4
Nicaragua,2012,21.2
Panamá,2012,20.3
Paraguay,2012,25.3
Perú,2012,14.7
Saint Kitts y Nevis,2012,25.4
Santa Lucía,2012,26.8
San Vicente y las Granadinas,2012,23.9
Suriname,2012,23.0
Trinidad y Tabago,2012,25.2
Estados Unidos de América,2012,13.3
Uruguay,2012,22.2
Venezuela (República Bolivariana de),2012,19.8
Antigua y Barbuda,2013,23.1
Argentina,2013,23.2
Bahamas,2013,21.6
Barbados,2013,24.5
Belice,2013,22.9
Bolivia (Estado Plurinacional de),2013,18.3
Brasil,2013,24.0
Canadá,2013,13.9
Chile,2013,21.6
Colombia,2013,19.7
Costa Rica,2013,19.3
Cuba,2013,19.5
Dominica,2013,23.1
República Dominicana,2013,22.1
Ecuador,2013,18.2
El Salvador,2013,19.1
Granada,2013,24.3
Guatemala,2013,21.4
Guyana,2013,23.0
Haití,2013,25.0
Honduras,2013,21.6
Jamaica,2013,22.1
México,2013,20.1
Nicaragua,2013,21.1
Panamá,2013,20.2
Paraguay,2013,25.0
Perú,2013,14.3
Saint Kitts y Nevis,2013,25.3
Santa Lucía,2013,26.9
San Vicente y las Granadinas,2013,23.7
Suriname,2013,22.8
Trinidad y Tabago,2013,25.4
Estados Unidos de América,2013,13.2
Uruguay,2013,21.7
Venezuela (República Bolivariana de),2013,19.4
Antigua y Barbuda,2014,23.2
Argentina,2014,22.9
Bahamas,2014,21.3
Barbados,2014,24.5
Belice,2014,22.8
Bolivia (Estado Plurinacional de),2014,18.1
Brasil,2014,23.7
Canadá,2014,13.6
Chile,2014,21.3
Colombia,2014,19.4
Costa Rica,2014,19.0
Cuba,2014,19.3
Dominica,2014,22.8
República Dominicana,2014,21.8
Ecuador,2014,18.0
El Salvador,2014,18.9
Granada,2014,24.3
Guatemala,2014,21.3
Guyana,2014,23.1
Haití,2014,24.7
Honduras,2014,21.5
Jamaica,2014,22.0
México,2014,19.9
Nicaragua,2014,20.9
Panamá,2014,20.0
Paraguay,2014,24.8
Perú,2014,14.0
Saint Kitts y Nevis,2014,25.3
Santa Lucía,2014,27.0
San Vicente y las Granadinas,2014,23.5
Suriname,2014,22.6
Trinidad y Tabago,2014,25.6
Estados Unidos de América,2014,13.1
Uruguay,2014,21.2
Venezuela (República Bolivariana de),2014,19.0
Antigua y Barbuda,2015,23.4
Argentina,2015,22.6
Bahamas,2015,20.9
Barbados,2015,24.4
Belice,2015,22.7
Bolivia (Estado Plurinacional de),2015,17.9
Brasil,2015,23.3
Canadá,2015,13.2
Chile,2015,20.9
Colombia,2015,19.2
Costa Rica,2015,18.7
Cuba,2015,19.0
Dominica,2015,22.5
República Dominicana,2015,21.5
Ecuador,2015,17.9
El Salvador,2015,18.7
Granada,2015,24.3
Guatemala,2015,21.2
Guyana,2015,23.1
Haití,2015,24.5
Honduras,2015,21.4
Jamaica,2015,21.8
México,2015,19.7
Nicaragua,2015,20.8
Panamá,2015,19.9
Paraguay,2015,24.6
Perú,2015,13.7
Saint Kitts y Nevis,2015,25.3
Santa Lucía,2015,27.1
San Vicente y las Granadinas,2015,23.3
Suriname,2015,22.4
Trinidad y Tabago,2015,25.8
Estados Unidos de América,2015,12.9
Uruguay,2015,20.7
Venezuela (República Bolivariana de),2015,18.6
