Country,Año,Necesidades promedio de energía alimentaria kilocalorias
América Latina y el Caribe,2010,2367
América Central,2010,2317
El Caribe,2010,2394
América del Sur,2010,2385
Antigua y Barbuda,2011,2442
Argentina,2011,2415
Bahamas,2011,2450
Barbados,2011,2459
Belice,2011,2228
Bolivia (Estado Plurinacional de),2011,2233
Brasil,2011,2435
Chile,2011,2435
Colombia,2011,2335
Costa Rica,2011,2425
Cuba,2011,2444
Dominica,2011,2461
República Dominicana,2011,2373
Ecuador,2011,2267
El Salvador,2011,2263
Granada,2011,2473
Guatemala,2011,2140
Haití,2011,2309
Honduras,2011,2234
México,2011,2355
Nicaragua,2011,2265
Panamá,2011,2283
Paraguay,2011,2338
Perú,2011,2267
Saint Kitts y Nevis,2011,2444
Santa Lucía,2011,2504
San Vicente y las Granadinas,2011,2467
Suriname,2011,2361
Trinidad y Tabago,2011,2437
Uruguay,2011,2408
Venezuela (República Bolivariana de),2011,2330
América Latina y el Caribe,2011,2371
América Central,2011,2321
El Caribe,2011,2397
América del Sur,2011,2388
Antigua y Barbuda,2012,2448
Argentina,2012,2416
Bahamas,2012,2452
Barbados,2012,2459
Belice,2012,2236
Bolivia (Estado Plurinacional de),2012,2236
Brasil,2012,2438
Chile,2012,2436
Colombia,2012,2339
Costa Rica,2012,2426
Cuba,2012,2444
Dominica,2012,2464
República Dominicana,2012,2377
Ecuador,2012,2274
El Salvador,2012,2269
Granada,2012,2478
Guatemala,2012,2146
Haití,2012,2314
Honduras,2012,2244
México,2012,2359
Nicaragua,2012,2269
Panamá,2012,2284
Paraguay,2012,2344
Perú,2012,2273
Saint Kitts y Nevis,2012,2449
Santa Lucía,2012,2508
San Vicente y las Granadinas,2012,2473
Suriname,2012,2363
Trinidad y Tabago,2012,2437
Uruguay,2012,2409
Venezuela (República Bolivariana de),2012,2332
América Latina y el Caribe,2012,2374
América Central,2012,2326
El Caribe,2012,2399
América del Sur,2012,2391
Antigua y Barbuda,2013,2447
Argentina,2013,2417
Bahamas,2013,2460
Barbados,2013,2458
Belice,2013,2244
Bolivia (Estado Plurinacional de),2013,2240
Brasil,2013,2440
Chile,2013,2437
Colombia,2013,2343
Costa Rica,2013,2429
Cuba,2013,2445
Dominica,2013,2466
República Dominicana,2013,2381
Ecuador,2013,2277
