País,Año,"Birth rate, crude (per 1,000 people)",CO2 emissions (kg per PPP $ of GDP),Capital health expenditure (% of GDP),"Compulsory education, duration (years)",Control of Corruption: Estimate,"Current health expenditure per capita, PPP (current international $)","Death rate, crude (per 1,000 people)",Diabetes prevalence (% of population ages 20 to 79),Domestic general government health expenditure (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Domestic private health expenditure (% of current health expenditure),"Fertility rate, total (births per woman)","GDP, PPP (constant 2017 international $)",Gini index,"Government expenditure on education, total (% of GDP)","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)","Mortality rate, adult, female (per 1,000 female adults)","Mortality rate, adult, male (per 1,000 male adults)","Mortality rate, infant (per 1,000 live births)",Number of neonatal deaths,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",People using at least basic sanitation services (% of population),People using safely managed drinking water services (% of population),Political Stability and Absence of Violence/Terrorism: Estimate,"Population ages 80 and above, female","Population ages 80 and above, male",Population density (people per sq. km of land area),"Population, female","Population, female (% of total population)","Population, male","Population, male (% of total population)","Population, total",Poverty gap at $6.85 a day (2017 PPP) (%),Pregnant women receiving prenatal care (%),Prevalence of overweight (% of adults),"Prevalence of overweight, weight for height (% of children under 5)",Prevalence of undernourishment (% of population),Rural population (% of total population),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population,Urban population (% of total population),"Proportion of adults who are obese, 20 years old and over ,by sex",Gasto público social según la clasificación por funciones del gobierno,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex"
Trinidad and Tobago,2010,44.526,1.58636445899454,0.88955229,18.0,-0.624304130673408,4453.94645978001,20.124,0.0,7.34020757999999,2145.02167139676,154.87331772,5.103,115627734932.527,181.48044740031946,15.679869129992937,228.414,207.927,218.175,358.623,626.16,61.2,921.0,300.0,277.7284726037,239.317222688559,-0.152469545602798,35226.0,16365.0,824.734502923977,2142720.0,151.934062069239,2088168.0,148.06593793076,4230888.0,52.34104599073635,0.0,125.1,0.0,24.6,137.925,12.09,2285736.0,162.075,15.4,31510.707433452364,12.995737302561224
Trinidad and Tobago,2010,44.526,1.58636445899454,0.88955229,18.0,-0.624304130673408,4453.94645978001,20.124,0.0,7.34020757999999,2145.02167139676,154.87331772,5.103,115627734932.527,181.48044740031946,15.679869129992937,228.414,207.927,218.175,358.623,626.16,61.2,921.0,300.0,277.7284726037,239.317222688559,-0.152469545602798,35226.0,16365.0,824.734502923977,2142720.0,151.934062069239,2088168.0,148.06593793076,4230888.0,52.34104599073635,0.0,125.1,0.0,24.6,137.925,12.09,2285736.0,162.075,22.0,31510.707433452364,12.995737302561224
Trinidad and Tobago,2010,44.526,1.58636445899454,0.88955229,18.0,-0.624304130673408,4453.94645978001,20.124,0.0,7.34020757999999,2145.02167139676,154.87331772,5.103,115627734932.527,181.48044740031946,15.679869129992937,228.414,207.927,218.175,358.623,626.16,61.2,921.0,300.0,277.7284726037,239.317222688559,-0.152469545602798,35226.0,16365.0,824.734502923977,2142720.0,151.934062069239,2088168.0,148.06593793076,4230888.0,52.34104599073635,0.0,125.1,0.0,24.6,137.925,12.09,2285736.0,162.075,8.5,31510.707433452364,12.995737302561224
Trinidad and Tobago,2011,29.562,1.07787610378672,0.3169466,12.0,-0.270100980997086,2783.28404751012,13.236,0.0,4.70981788,1388.05807258288,99.8271637,3.426,76858253064.4506,181.0799731827667,15.811553630716219,152.82,140.156,146.556,235.794,398.414,39.6,594.0,200.0,185.662429331532,241.44607083809206,0.282160818576812,24492.0,11402.0,553.61403508772,1438776.0,101.320826467232,1401264.0,98.6791735327672,2840040.0,50.16813473496131,0.0,84.8,0.0,14.4,92.328,6.86,1528964.0,107.672,16.1,32768.01271366235,12.805073275823702
Trinidad and Tobago,2011,29.562,1.07787610378672,0.3169466,12.0,-0.270100980997086,2783.28404751012,13.236,0.0,4.70981788,1388.05807258288,99.8271637,3.426,76858253064.4506,181.0799731827667,15.811553630716219,152.82,140.156,146.556,235.794,398.414,39.6,594.0,200.0,185.662429331532,241.44607083809206,0.282160818576812,24492.0,11402.0,553.61403508772,1438776.0,101.320826467232,1401264.0,98.6791735327672,2840040.0,50.16813473496131,0.0,84.8,0.0,14.4,92.328,6.86,1528964.0,107.672,22.9,32768.01271366235,12.805073275823702
Trinidad and Tobago,2011,29.562,1.07787610378672,0.3169466,12.0,-0.270100980997086,2783.28404751012,13.236,0.0,4.70981788,1388.05807258288,99.8271637,3.426,76858253064.4506,181.0799731827667,15.811553630716219,152.82,140.156,146.556,235.794,398.414,39.6,594.0,200.0,185.662429331532,241.44607083809206,0.282160818576812,24492.0,11402.0,553.61403508772,1438776.0,101.320826467232,1401264.0,98.6791735327672,2840040.0,50.16813473496131,0.0,84.8,0.0,14.4,92.328,6.86,1528964.0,107.672,8.9,32768.01271366235,12.805073275823702
Trinidad and Tobago,2012,29.144,1.01017236027847,0.35747672,12.0,-0.364758998155594,2757.07713419316,13.192,0.0,4.75720024,1345.58674239425,102.15442658,3.422,81938675626.5692,180.67949896521395,5.2596549987793,153.408,141.27,147.432,232.898,386.534,38.4,570.0,200.0,186.173237596136,243.574918987626,0.208555206656456,25516.0,11992.0,557.651851851852,1449572.0,101.34195390446,1411182.0,98.6580460955398,2860754.0,47.99522347918628,0.0,86.2,0.0,13.4,92.658,7.44,1535396.0,107.342,16.7,34025.31799387233,12.614409249086236
Trinidad and Tobago,2012,29.144,1.01017236027847,0.35747672,12.0,-0.364758998155594,2757.07713419316,13.192,0.0,4.75720024,1345.58674239425,102.15442658,3.422,81938675626.5692,180.67949896521395,5.2596549987793,153.408,141.27,147.432,232.898,386.534,38.4,570.0,200.0,186.173237596136,243.574918987626,0.208555206656456,25516.0,11992.0,557.651851851852,1449572.0,101.34195390446,1411182.0,98.6580460955398,2860754.0,47.99522347918628,0.0,86.2,0.0,13.4,92.658,7.44,1535396.0,107.342,23.8,34025.31799387233,12.614409249086236
Trinidad and Tobago,2012,29.144,1.01017236027847,0.35747672,12.0,-0.364758998155594,2757.07713419316,13.192,0.0,4.75720024,1345.58674239425,102.15442658,3.422,81938675626.5692,180.67949896521395,5.2596549987793,153.408,141.27,147.432,232.898,386.534,38.4,570.0,200.0,186.173237596136,243.574918987626,0.208555206656456,25516.0,11992.0,557.651851851852,1449572.0,101.34195390446,1411182.0,98.6580460955398,2860754.0,47.99522347918628,0.0,86.2,0.0,13.4,92.658,7.44,1535396.0,107.342,9.4,34025.31799387233,12.614409249086236
Trinidad and Tobago,2013,28.564,1.04122478268965,0.23080734,12.0,-0.505540311336518,2841.2501611437,13.324,0.0,5.17703294,1463.60432493812,96.80732728,3.406,85088235523.5178,180.2790247476612,5.34752559661866,154.138,141.56,147.924,227.538,385.122,37.2,546.0,200.0,186.684739862944,245.70376713715905,0.18737219274044,26582.0,12630.0,561.687719298246,1460376.0,101.363684634653,1421084.0,98.6364541839582,2881458.0,45.822312223411245,0.0,87.8,0.0,13.2,92.94,5.36,1542444.0,107.06,17.4,35282.62327408232,12.42374522234877
